benchmark,geth-evm,evmone-baseline,evmone-advanced
SWAP2_s0, 13.77, 6.021, 5.607
SWAP3_s0, 13.035, 6.672, 5.5729999999999995
SWAP4_s0, 12.844, 5.861, 5.590000000000001
SWAP5_s0, 12.889, 5.702999999999999, 5.649
SWAP6_s0, 12.972, 5.908, 5.767
SWAP7_s0, 13.457, 5.909, 5.738
SWAP8_s0, 14.291, 5.927, 5.791
SWAP9_s0, 14.4, 5.933, 5.719
XOR_b0, 13.348, 6.0600000000000005, 5.468
XOR_b1, 13.001999999999999, 6.1339999999999995, 5.436
